Hotel_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
4,Bundaberg,AU,84.99,-24.85,152.35,broken clouds,Takalvan Motel
6,Hilo,US,75.99,19.7297,-155.09,moderate rain,Hilo Hawaiian Hotel
11,Namatanai,PG,84.0,-3.6667,152.4333,broken clouds,Namatanai Hotel
13,Hithadhoo,MV,84.09,-0.6,73.0833,overcast clouds,Scoop Guest House
19,Gisborne,NZ,75.0,-38.6533,178.0042,clear sky,ASURE Alfresco Motor Lodge
23,Georgetown,MY,78.8,5.4112,100.3354,few clouds,Cititel Penang
24,Pilar,BR,78.8,-9.5972,-35.9567,clear sky,Pousada e churrascaria Manguaba
27,Saint-Philippe,RE,78.8,-21.3585,55.7679,few clouds,"Chambres d'hôte ""La Trinité"""
29,Rikitea,PF,80.87,-23.1203,-134.9692,moderate rain,Pension Maro'i
33,Cabo San Lucas,MX,75.0,22.8909,-109.9124,few clouds,Hotel Tesoro Los Cabos
38,Avarua,CK,84.2,-21.2078,-159.775,few clouds,Paradise Inn
39,Karkal,IN,80.6,13.2,74.9833,few clouds,Suhag Hotel
40,Rioja,AR,76.6,-29.4111,-66.8507,broken clouds,Hotel Libertador
44,Puerto Ayora,EC,82.4,-0.7393,-90.3518,light rain,Finch Bay Galapagos Hotel
52,Gamba,GA,78.44,-2.65,10.0,moderate rain,
60,Jutai,BR,75.67,-5.1833,-68.9,moderate rain,
62,Olavarria,AR,76.5,-36.8927,-60.3225,scattered clouds,Hotel Santa Rosa
63,Butaritari,KI,81.16,3.0707,172.7902,light rain,Isles Sunset Lodge
69,Arraial Do Cabo,BR,80.6,-22.9661,-42.0278,clear sky,Pousada Porto Praia
73,Umm Lajj,SA,75.2,25.0213,37.2685,broken clouds,Moon light Furnished Units
74,Atuona,PF,80.19,-9.8,-139.0333,scattered clouds,Villa Enata
78,Namibe,AO,76.28,-15.1961,12.1522,broken clouds,Hotel Chik Chik Namibe
79,Lorengau,PG,84.15,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
91,Meulaboh,ID,75.99,4.1363,96.1285,broken clouds,Kost Pria
92,Kavieng,PG,83.17,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
93,Isangel,VU,82.4,-19.55,169.2667,broken clouds,Volcano Sea View Tree House
97,Vaini,TO,84.2,-21.2,-175.2,broken clouds,Keleti Beach Resort
102,Mahebourg,MU,77.0,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
104,Touros,BR,80.6,-5.1989,-35.4608,few clouds,INN NEW HORIZON
113,Carauari,BR,76.78,-4.8828,-66.8958,light rain,Hotel Fellip
114,Bengkulu,ID,76.98,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
117,Labuhan,ID,77.68,-6.8844,112.2051,overcast clouds,PT PPI Lamongan Tambak C
120,Carutapera,BR,76.73,-1.195,-46.02,broken clouds,Lidera
123,Sibolga,ID,76.15,1.7427,98.7792,moderate rain,Hotel Syariah CN Darussalam
124,Porto Novo,BJ,78.8,6.4965,2.6036,few clouds,Tour Eiffel Hotel Benin
125,San Cristobal,VE,80.6,7.7669,-72.225,broken clouds,Posada Villaven C.A.
126,Moerai,PF,80.64,-22.4333,-151.3333,scattered clouds,Le Manotel
127,Takoradi,GH,78.53,4.8845,-1.7554,overcast clouds,Raybow International Hotel
131,Kavaratti,IN,82.47,10.5669,72.642,clear sky,Hotels in Lakshadweep Islands
136,Bambous Virieux,MU,77.0,-20.3428,57.7575,light rain,Casa Tia Villa
150,Bathsheba,BB,78.8,13.2167,-59.5167,scattered clouds,Atlantis Hotel
151,Coihaique,CL,75.2,-45.5752,-72.0662,clear sky,Diego De Almagro Coyhaique
152,Sola,VU,82.4,-13.8833,167.55,broken clouds,Leumerus Bungalows
156,Veraval,IN,75.33,20.9,70.3667,scattered clouds,Lords Inn Somnath
162,Vao,NC,76.82,-22.6667,167.4833,clear sky,Hotel Kou-Bugny
163,Pisco,PE,84.2,-13.7,-76.2167,clear sky,Hotel San Isidro Oficial
166,Kulhudhuffushi,MV,82.08,6.6221,73.07,overcast clouds,Haajy Guest House 1
167,Auchi,NG,77.49,7.0667,6.2667,broken clouds,LECKY PLACE & HOTEL
169,Lascahobas,HT,82.4,18.8294,-71.9364,few clouds,Oasis Piscine
171,Barra Patuca,HN,79.16,15.8,-84.2833,clear sky,
172,Atar,MR,75.07,20.5169,-13.0499,clear sky,Oumou Elghoura
183,San Pedro,PH,78.8,14.35,121.0167,scattered clouds,OYO 412 Viewfort Venue
185,Samarai,PG,83.66,-10.6167,150.6667,overcast clouds,Nuli Sapi
191,Avera,US,80.6,33.194,-82.5271,scattered clouds,
195,Muli,MV,82.87,2.9167,73.5667,heavy intensity rain,Medhufushi Island Resort
200,Mbini,GQ,79.66,1.574,9.6134,light rain,
202,Kahului,US,75.99,20.8947,-156.47,few clouds,Maui Seaside Hotel
208,Cotonou,BJ,78.8,6.3654,2.4183,few clouds,Novotel Cotonou Orisha
210,La Joya,MX,98.01,18.6667,-99.4667,few clouds,HOTEL BUGAMBILIAS
213,Ambon,ID,77.0,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
214,Euclides Da Cunha,BR,76.03,-10.5075,-39.0158,scattered clouds,Hotel e Posto Bastos
216,Itarema,BR,78.37,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
217,Cabedelo,BR,78.8,-6.9811,-34.8339,few clouds,Hotel Pigalle
224,Oranjestad,AW,78.35,12.524000000000001,-70.027,overcast clouds,Divi Village Golf & Beach Resort
232,Fare,PF,83.12,-16.7,-151.0167,overcast clouds,Maitai Lapita Village Huahine
240,Pasir Gudang,MY,78.8,1.4584,103.8805,clear sky,Swan Garden Hotel
243,Nouna,BF,78.91,12.7333,-3.8667,scattered clouds,Sabunyuma So
248,Caravelas,BR,75.56,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
249,Luba,GQ,79.74,3.4568,8.5547,overcast clouds,
253,Kloulklubed,PW,77.0,7.0419,134.2556,broken clouds,Storyboard Beach Resort
254,Humaita,BR,77.29,-7.5061,-63.0208,broken clouds,Corrêa Hotel
262,Guarapari,BR,80.6,-20.6667,-40.4975,broken clouds,Hotel Porto do Sol
264,Luanda,AO,82.4,-8.8368,13.2343,broken clouds,LANDU MARINEZA LUFUANDU TONI
266,Copalillo,MX,98.01,18.0333,-99.1167,clear sky,
270,Mitsamiouli,KM,81.97,-11.3847,43.2844,overcast clouds,Foyer ADM
277,Malindi,KE,77.74,-3.2175,40.1191,clear sky,African House Resort
278,Hervey Bay,AU,80.01,-25.2986,152.8535,scattered clouds,Shelly Bay Resort
282,Cayenne,GF,75.99,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
283,Tuxpan,MX,82.4,19.55,-103.4,clear sky,Hotel y Restaurante Campestre La Cabaña
294,Manokwari,ID,80.04,-0.8667,134.0833,broken clouds,Swiss Belhotel Manokwari
298,Upata,VE,75.0,8.0086,-62.3989,broken clouds,Posada Villa Nela
303,Abu Zabad,SD,78.84,12.35,29.25,scattered clouds,حامد محمد نور
306,Gizo,SB,83.66,-8.103,156.8419,light rain,Imagination Island
307,Alofi,NU,84.2,-19.0595,-169.9187,broken clouds,Taloa Heights
316,Geraldton,AU,75.2,-28.7667,114.6,clear sky,Broadwater Mariner Resort
319,Port Blair,IN,78.93,11.6667,92.75,broken clouds,Welcomhotel Bay Island Port Blair
326,Faanui,PF,83.07,-16.4833,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
332,Nanakuli,US,77.0,21.3906,-158.1547,light rain,Camp Pālehua
334,Waingapu,ID,79.38,-9.6567,120.2641,overcast clouds,Pondok Wisata Elim
335,Maragogi,BR,78.57,-9.0122,-35.2225,overcast clouds,Salinas do Maragogi All Inclusive Resort
340,Panacan,PH,75.2,9.2463,118.4082,few clouds,Mom's Place Resort
344,Daru,PG,80.08,-9.0763,143.2092,broken clouds,Daru Lodge
345,Eyl,SO,76.23,7.9803,49.8164,overcast clouds,Amiin Hotel
350,Singaraja,ID,79.02,-8.112,115.0882,scattered clouds,Puri Bagus Lovina Resort
351,Vila Velha,BR,80.6,-20.3297,-40.2925,broken clouds,Quality Suites Vila Velha
370,Calabozo,VE,87.67,8.9242,-67.4293,broken clouds,Hotel Giardini
371,Buchanan,LR,78.8,5.8808,-10.0467,broken clouds,Kamaneahn Hotel Inc
375,Ailigandi,PA,78.82,9.2333,-78.0167,scattered clouds,Akwa Reef Lodge
376,San Juan,AR,81.27,-31.5375,-68.5364,scattered clouds,Hotel Provincial
381,Marshall,US,77.0,34.3834,-86.3333,scattered clouds,Riverview Campground
386,Sinnamary,GF,76.86,5.3833,-52.95,overcast clouds,ALETHEIA Appartement Sinnamary
390,Souillac,MU,77.0,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
393,Puerto Escondido,MX,84.2,15.85,-97.0667,scattered clouds,Aldea del Bazar Hotel and Spa
395,Douentza,ML,75.4,14.9951,-2.9517,clear sky,Ogomono Doumbo
