City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Mataura,-46.1927,168.8643,57.07,77,100,6.04,NZ,2021-03-14 22:39:50,overcast clouds
1,Castro,-24.7911,-50.0119,65.68,83,4,1.52,BR,2021-03-14 22:36:49,clear sky
2,Vigrestad,58.5667,5.7,39.99,95,55,3.0,NO,2021-03-14 22:44:13,broken clouds
3,Kapaa,22.0752,-159.319,73.4,78,75,23.02,US,2021-03-14 22:36:14,light rain
4,Bundaberg,-24.85,152.35,84.99,73,71,5.75,AU,2021-03-14 22:44:14,broken clouds
5,Coquimbo,-29.9533,-71.3436,64.4,68,0,10.36,CL,2021-03-14 22:42:06,clear sky
6,Hilo,19.7297,-155.09,75.99,83,90,13.8,US,2021-03-14 22:43:00,moderate rain
7,Ushuaia,-54.8,-68.3,53.6,50,75,12.66,AR,2021-03-14 22:44:14,broken clouds
8,Inhambane,-23.865,35.3833,74.23,91,2,6.46,MZ,2021-03-14 22:44:15,clear sky
9,Bluff,-46.6,168.3333,58.66,83,100,11.52,NZ,2021-03-14 22:39:45,light rain
10,Baruun-Urt,46.6806,113.2792,12.43,35,4,20.42,MN,2021-03-14 22:44:15,clear sky
11,Namatanai,-3.6667,152.4333,84.0,66,67,4.12,PG,2021-03-14 22:37:19,broken clouds
12,Aksu,41.1231,80.2644,48.56,35,9,5.48,CN,2021-03-14 22:37:12,clear sky
13,Hithadhoo,-0.6,73.0833,84.09,64,97,7.23,MV,2021-03-14 22:36:17,overcast clouds
14,Najran,17.4924,44.1277,66.2,34,0,2.3,SA,2021-03-14 22:40:53,dust
15,Punta Arenas,-53.15,-70.9167,48.2,76,0,12.66,CL,2021-03-14 22:36:01,clear sky
16,Hermanus,-34.4187,19.2345,64.99,93,97,8.75,ZA,2021-03-14 22:36:15,light rain
17,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,20,12.66,CA,2021-03-14 22:37:07,few clouds
18,New Norfolk,-42.7826,147.0587,66.0,58,92,3.0,AU,2021-03-14 22:36:02,overcast clouds
19,Gisborne,-38.6533,178.0042,75.0,56,6,4.0,NZ,2021-03-14 22:44:17,clear sky
20,Klaksvik,62.2266,-6.589,39.2,93,75,6.91,FO,2021-03-14 22:37:39,broken clouds
21,Carnarvon,-24.8667,113.6333,73.4,88,26,5.75,AU,2021-03-14 22:37:03,scattered clouds
22,Arkhangelsk,64.5401,40.5433,33.8,86,40,4.47,RU,2021-03-14 22:44:18,scattered clouds
23,Georgetown,5.4112,100.3354,78.8,83,20,5.75,MY,2021-03-14 22:36:03,few clouds
24,Pilar,-9.5972,-35.9567,78.8,69,0,10.36,BR,2021-03-14 22:44:19,clear sky
25,Port Alfred,-33.5906,26.891,69.01,96,95,8.99,ZA,2021-03-14 22:36:21,overcast clouds
26,Saint George,37.1041,-113.5841,63.0,35,1,16.11,US,2021-03-14 22:34:22,clear sky
27,Saint-Philippe,-21.3585,55.7679,78.8,73,20,16.11,RE,2021-03-14 22:36:36,few clouds
28,Dikson,73.5069,80.5464,-25.73,99,100,11.36,RU,2021-03-14 22:36:40,overcast clouds
29,Rikitea,-23.1203,-134.9692,80.87,76,18,13.15,PF,2021-03-14 22:36:21,moderate rain
30,Nouadhibou,20.931,-17.0347,66.2,72,0,12.66,MR,2021-03-14 22:44:20,clear sky
31,Palazzolo Acreide,37.0623,14.9035,50.0,81,20,2.3,IT,2021-03-14 22:44:20,few clouds
32,Pangnirtung,66.1451,-65.7125,-16.83,92,23,1.39,CA,2021-03-14 22:41:27,few clouds
33,Cabo San Lucas,22.8909,-109.9124,75.0,40,20,8.05,MX,2021-03-14 22:39:35,few clouds
34,Comodoro Rivadavia,-45.8667,-67.5,62.6,72,0,23.02,AR,2021-03-14 22:42:19,clear sky
35,Constitucion,-35.3333,-72.4167,58.1,87,61,3.31,CL,2021-03-14 22:44:21,broken clouds
36,Cape Town,-33.9258,18.4232,70.0,77,20,11.5,ZA,2021-03-14 22:33:36,light rain
37,Yellowknife,62.456,-114.3525,12.99,73,90,5.75,CA,2021-03-14 22:36:13,light snow
38,Avarua,-21.2078,-159.775,84.2,74,19,11.5,CK,2021-03-14 22:36:31,few clouds
39,Karkal,13.2,74.9833,80.6,78,20,2.55,IN,2021-03-14 22:44:22,few clouds
40,Rioja,-29.4111,-66.8507,76.6,65,79,2.91,AR,2021-03-14 22:44:23,broken clouds
41,Busselton,-33.65,115.3333,57.99,73,27,4.0,AU,2021-03-14 22:36:10,scattered clouds
42,Albany,42.6001,-73.9662,30.99,24,65,4.0,US,2021-03-14 22:43:49,broken clouds
43,Vostok,46.4856,135.8833,31.55,73,0,3.27,RU,2021-03-14 22:44:23,clear sky
44,Puerto Ayora,-0.7393,-90.3518,82.4,74,40,9.22,EC,2021-03-14 22:31:15,light rain
45,Bredasdorp,-34.5322,20.0403,66.2,94,99,8.05,ZA,2021-03-14 22:36:11,heavy intensity rain
46,Alanya,36.5438,31.9998,57.2,82,75,3.44,TR,2021-03-14 22:44:24,broken clouds
47,Los Llanos De Aridane,28.6585,-17.9182,66.2,68,90,13.8,ES,2021-03-14 22:37:14,overcast clouds
48,Lebu,-37.6167,-73.65,58.75,84,0,4.29,CL,2021-03-14 22:36:39,clear sky
49,Novikovo,51.1537,37.8879,32.86,84,100,11.43,RU,2021-03-14 22:44:25,overcast clouds
50,Adrar,20.5022,-10.0711,72.75,24,78,8.57,MR,2021-03-14 22:36:53,broken clouds
51,Tonosho,34.4833,134.1833,42.8,87,20,8.05,JP,2021-03-14 22:44:26,few clouds
52,Gamba,-2.65,10.0,78.44,87,100,7.0,GA,2021-03-14 22:44:26,moderate rain
53,Padang,-0.9492,100.3543,73.4,100,75,2.3,ID,2021-03-14 22:36:17,broken clouds
54,Mar Del Plata,-38.0023,-57.5575,70.0,88,0,11.5,AR,2021-03-14 22:37:22,clear sky
55,Sungaipenuh,-2.0833,101.3833,63.34,95,96,2.71,ID,2021-03-14 22:44:27,overcast clouds
56,Katsuura,35.1333,140.3,51.8,40,40,17.27,JP,2021-03-14 22:38:34,scattered clouds
57,Buy,58.4786,41.53,33.91,99,100,9.64,RU,2021-03-14 22:44:27,snow
58,Victoria,22.2855,114.1577,69.01,85,93,1.01,HK,2021-03-14 22:32:35,overcast clouds
59,Jumla,29.2747,82.1838,40.89,76,0,3.83,NP,2021-03-14 22:44:28,clear sky
60,Jutai,-5.1833,-68.9,75.67,96,100,1.77,BR,2021-03-14 22:44:28,moderate rain
61,Port Elizabeth,-33.918,25.5701,69.8,94,90,8.05,ZA,2021-03-14 22:36:14,light rain
62,Olavarria,-36.8927,-60.3225,76.5,35,28,6.85,AR,2021-03-14 22:44:29,scattered clouds
63,Butaritari,3.0707,172.7902,81.16,80,18,15.32,KI,2021-03-14 22:36:04,light rain
64,Novosokolniki,56.3463,30.1578,36.57,93,100,10.47,RU,2021-03-14 22:44:30,overcast clouds
65,Ancud,-41.8697,-73.8203,66.2,63,0,5.75,CL,2021-03-14 22:40:46,clear sky
66,Nikolskoye,59.7035,30.7861,36.0,93,90,6.71,RU,2021-03-14 22:37:00,light snow
67,Saint Anthony,45.0205,-93.218,46.4,29,1,12.66,US,2021-03-14 22:36:10,clear sky
68,Palmer,42.1584,-72.3287,33.8,25,40,26.46,US,2021-03-14 22:44:31,scattered clouds
69,Arraial Do Cabo,-22.9661,-42.0278,80.6,73,0,12.66,BR,2021-03-14 22:36:28,clear sky
