City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-03-14 21:37:44,-33.65,115.3333,59.0,73,28,4.0
1,Tuktoyaktuk,CA,2021-03-14 21:40:51,69.4541,-133.0374,-18.4,76,20,13.8
2,Half Moon Bay,US,2021-03-14 21:40:51,37.4636,-122.4286,60.01,54,90,9.22
3,Nikolskoye,RU,2021-03-14 21:40:51,59.7035,30.7861,36.0,93,90,6.71
4,Rikitea,PF,2021-03-14 21:40:52,-23.1203,-134.9692,80.78,76,12,13.13
5,Domoni,KM,2021-03-14 21:40:52,-12.2569,44.5319,80.17,82,94,5.57
6,Atuona,PF,2021-03-14 21:40:53,-9.8,-139.0333,80.33,66,51,10.69
7,Longyearbyen,SJ,2021-03-14 21:39:48,78.2186,15.6401,-2.2,65,20,13.8
8,Yushu,CN,2021-03-14 21:40:53,44.8,126.5333,40.84,68,89,20.47
9,Qaanaaq,GL,2021-03-14 21:37:59,77.484,-69.3632,-4.9,65,100,3.29
10,Bathsheba,BB,2021-03-14 21:40:54,13.2167,-59.5167,80.6,69,40,12.66
11,Bonavista,CA,2021-03-14 21:36:15,48.6499,-53.1147,28.99,80,100,3.44
12,Dunedin,NZ,2021-03-14 21:37:35,-45.8742,170.5036,63.0,62,100,1.99
13,Bodden Town,KY,2021-03-14 21:40:55,19.2833,-81.25,82.4,69,20,11.5
14,Herat,AF,2021-03-14 21:40:55,34.5,62.0,38.61,47,100,7.49
15,Arraial Do Cabo,BR,2021-03-14 21:40:56,-22.9661,-42.0278,78.8,73,0,12.66
16,Airai,TL,2021-03-14 21:40:56,-8.9266,125.4092,59.23,86,100,1.61
17,Nadym,RU,2021-03-14 21:40:56,65.5333,72.5167,11.39,95,96,7.56
18,Broome,US,2021-03-14 21:40:57,42.2506,-75.833,32.0,46,90,26.46
19,Souillac,MU,2021-03-14 21:38:07,-20.5167,57.5167,77.0,94,75,3.44
20,Waingapu,ID,2021-03-14 21:37:05,-9.6567,120.2641,78.04,82,91,3.18
21,Khatanga,RU,2021-03-14 21:40:57,71.9667,102.5,-19.7,95,100,10.18
22,Sitka,US,2021-03-14 21:40:58,57.0531,-135.33,32.0,51,20,14.97
23,High Level,CA,2021-03-14 21:40:59,58.5169,-117.136,10.4,79,90,10.36
24,Mataura,NZ,2021-03-14 21:40:59,-46.1927,168.8643,64.99,74,100,5.99
25,Port Alfred,ZA,2021-03-14 21:37:58,-33.5906,26.891,69.01,96,96,10.0
26,Lavrentiya,RU,2021-03-14 21:38:23,65.5833,-171.0,21.52,94,100,12.3
27,Kapaa,US,2021-03-14 21:41:00,22.0752,-159.319,73.4,78,90,27.63
28,Ushuaia,AR,2021-03-14 21:40:48,-54.8,-68.3,53.6,50,75,17.27
29,Hermanus,ZA,2021-03-14 21:41:00,-34.4187,19.2345,64.99,92,96,1.01
30,Hilo,US,2021-03-14 21:41:01,19.7297,-155.09,77.0,78,90,12.66
31,Itaituba,BR,2021-03-14 21:36:21,-4.2761,-55.9836,82.4,83,75,1.14
32,Touros,BR,2021-03-14 21:41:01,-5.1989,-35.4608,82.4,65,20,12.66
33,Williston,US,2021-03-14 21:41:02,48.147,-103.618,53.01,29,89,5.99
34,Juneau,US,2021-03-14 21:41:02,58.3019,-134.4197,26.6,43,40,8.05
35,Cidreira,BR,2021-03-14 21:41:03,-30.1811,-50.2056,74.01,85,12,9.04
36,Bartica,GY,2021-03-14 21:41:03,6.4,-58.6167,78.8,89,75,6.91
37,Haines Junction,CA,2021-03-14 21:41:03,60.7522,-137.5108,5.0,39,67,3.44
38,Puerto Ayora,EC,2021-03-14 21:41:04,-0.7393,-90.3518,82.4,74,40,9.22
39,Tessalit,ML,2021-03-14 21:39:10,20.1986,1.0114,72.19,24,0,7.85
40,Seoul,KR,2021-03-14 21:36:47,37.5683,126.9778,37.4,100,87,2.46
41,Hobart,AU,2021-03-14 21:37:51,-42.8794,147.3294,64.4,55,20,20.71
42,Bredasdorp,ZA,2021-03-14 21:41:05,-34.5322,20.0403,64.4,100,99,4.61
43,Narsaq,GL,2021-03-14 21:41:05,60.9167,-46.05,37.4,41,75,28.77
44,Salym,RU,2021-03-14 21:41:06,60.0625,71.4789,17.82,93,100,8.1
45,Karratha,AU,2021-03-14 21:41:06,-20.7377,116.8463,81.77,72,99,4.72
46,Providencia,MX,2021-03-14 21:41:06,28.7167,-111.5833,75.99,23,0,8.99
47,Gazojak,TM,2021-03-14 21:41:07,41.1875,61.4036,19.83,60,89,5.03
48,Albany,US,2021-03-14 21:36:26,42.6001,-73.9662,34.0,24,74,7.0
49,Lamu,KE,2021-03-14 21:41:07,-2.2717,40.902,78.8,83,20,8.05
50,Vaini,TO,2021-03-14 21:37:45,-21.2,-175.2,80.6,78,75,4.61
51,Geraldton,AU,2021-03-14 21:40:12,-28.7667,114.6,73.4,31,1,16.11
52,Saint Anthony,US,2021-03-14 21:41:08,45.0205,-93.218,46.99,31,1,16.11
